City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
78,Scarborough,GB,54.2797,-0.4044,50.0,62,48,1.01,scattered clouds
79,Jamestown,US,42.097,-79.2353,62.6,67,40,15.28,scattered clouds
80,Kovdor,RU,67.5662,30.4758,34.93,87,100,15.99,overcast clouds
81,Ketchikan,US,55.3422,-131.6461,41.0,93,90,5.75,light rain
82,Namibe,AO,-15.1961,12.1522,73.27,82,94,13.09,overcast clouds
83,Tautira,PF,-17.7333,-149.15,84.2,70,75,2.3,light rain
84,Qaanaaq,GL,77.484,-69.3632,-18.11,61,57,3.76,broken clouds
85,Karratha,AU,-20.7377,116.8463,82.08,62,1,6.82,clear sky
86,Arraial Do Cabo,BR,-22.9661,-42.0278,89.6,70,0,9.22,clear sky
87,East London,ZA,-33.0153,27.9116,68.0,88,75,10.36,light rain
88,Atasu,KZ,48.6814,71.6433,12.97,86,72,5.84,broken clouds
89,Dwarka,IN,22.2394,68.9678,78.94,63,0,13.29,clear sky
90,Makakilo City,US,21.3469,-158.0858,75.2,78,90,16.11,moderate rain
91,Touros,BR,-5.1989,-35.4608,86.0,62,75,18.41,broken clouds
92,Zhuhai,CN,22.2769,113.5678,71.6,78,20,3.22,few clouds
93,Rikitea,PF,-23.1203,-134.9692,79.05,67,9,13.0,clear sky
94,Pochutla,MX,15.7432,-96.4661,90.0,42,1,23.02,clear sky
95,Shaunavon,CA,49.6501,-108.4181,39.2,48,76,17.27,broken clouds
96,Lata,PT,40.1629,-8.3327,57.99,66,32,5.01,scattered clouds
97,Parker,US,32.7668,-97.8003,69.01,55,3,7.0,clear sky
98,Vitim,RU,59.4511,112.5578,-1.73,99,64,2.3,broken clouds
99,Kharitonovo,RU,61.4009,47.4978,33.69,98,100,8.72,overcast clouds
100,Norman Wells,CA,65.282,-126.8329,1.4,66,75,6.91,broken clouds
101,Ucluelet,CA,48.9329,-125.5528,46.99,93,75,11.5,broken clouds
102,Oktyabrskoye,RU,43.0645,44.7417,39.2,93,100,2.24,overcast clouds
103,Nikolskoye,RU,59.7035,30.7861,37.0,86,0,4.47,clear sky
104,Victor Harbor,AU,-35.5667,138.6167,60.01,81,56,12.21,broken clouds
105,New Norfolk,AU,-42.7826,147.0587,62.01,85,100,4.16,light rain
106,Puerto Ayora,EC,-0.7393,-90.3518,82.99,78,40,8.05,light rain
107,Bathsheba,BB,13.2167,-59.5167,84.2,51,40,19.57,scattered clouds
108,Bouca,CF,6.5105,18.2733,79.16,49,35,2.59,scattered clouds
109,Severo-Kurilsk,RU,50.6789,156.125,24.03,65,87,18.88,overcast clouds
110,Camacha,PT,33.0833,-16.3333,62.6,77,40,13.8,scattered clouds
111,Hermanus,ZA,-34.4187,19.2345,69.01,79,0,5.01,clear sky
112,Fortuna,US,40.5982,-124.1573,54.0,87,40,9.22,scattered clouds
113,Saskylakh,RU,71.9167,114.0833,-9.42,91,100,7.14,overcast clouds
114,Brae,GB,60.3964,-1.353,44.6,76,0,14.97,clear sky
115,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.27,69,66,10.96,light rain
116,Vagur,FO,61.4732,-6.8119,42.8,72,97,13.35,overcast clouds
117,Carnarvon,AU,-24.8667,113.6333,73.4,73,25,17.27,scattered clouds
118,Kaitangata,NZ,-46.2817,169.8464,49.98,93,82,4.47,broken clouds
119,Ixtapa,MX,20.7,-105.2,75.2,57,20,5.75,few clouds
120,Codrington,AU,-38.2667,141.9667,58.89,84,69,17.76,broken clouds
121,Sisimiut,GL,66.9395,-53.6735,0.07,90,99,12.64,overcast clouds
122,Kourou,GF,5.1552,-52.6478,87.8,55,20,16.11,few clouds
123,Sobolevo,RU,54.4299,31.8996,22.06,94,16,3.56,few clouds
124,Hirara,JP,24.8,125.2833,67.59,70,97,20.29,overcast clouds
125,Olafsvik,IS,64.8945,-23.7142,33.84,64,92,32.21,overcast clouds
126,Lavrentiya,RU,65.5833,-171.0,8.87,96,91,5.79,overcast clouds
127,Lexington,US,37.9887,-84.4777,72.0,49,75,14.97,broken clouds
128,Tuatapere,NZ,-46.1333,167.6833,45.0,95,9,3.38,clear sky
129,Majene,ID,-3.5403,118.9707,77.5,88,94,3.13,overcast clouds
130,Tessalit,ML,20.1986,1.0114,80.98,5,4,14.43,clear sky
131,Vaini,TO,-21.2,-175.2,77.0,94,90,8.05,heavy intensity rain
132,Talnakh,RU,69.4865,88.3972,14.58,93,100,10.09,light snow
133,Kavieng,PG,-2.5744,150.7967,78.8,85,100,11.34,moderate rain
134,Lompoc,US,34.6391,-120.4579,63.0,39,20,4.61,few clouds
135,Havelock,US,34.8791,-76.9013,68.0,83,90,13.8,overcast clouds
